courseId,code,name,credits,type,department,level,difficulty
CRS001,ENG102,ENG Course 102,2,elective,ENG,intro,0.23
CRS002,MATH201,MATH Course 201,4,core,MATH,advanced,0.4
CRS003,ENG303,ENG Course 303,2,elective,ENG,intro,0.28
CRS004,CS102,CS Course 102,2,core,CS,advanced,0.59
CRS005,STAT101,STAT Course 101,4,core,STAT,advanced,0.3
CRS006,ENG303,ENG Course 303,3,core,ENG,intermediate,0.22
CRS007,STAT203,STAT Course 203,2,core,STAT,advanced,0.51
CRS008,PSY204,PSY Course 204,3,core,PSY,intro,0.17
CRS009,ECON102,ECON Course 102,2,elective,ECON,intro,0.2
CRS010,ECON204,ECON Course 204,4,elective,ECON,intro,0.11
CRS011,ENG302,ENG Course 302,4,core,ENG,intermediate,0.44
CRS012,CS303,CS Course 303,3,elective,CS,advanced,0.58
CRS013,MATH102,MATH Course 102,2,core,MATH,intermediate,0.36
CRS014,CS202,CS Course 202,2,elective,CS,intermediate,0.46
CRS015,PSY204,PSY Course 204,2,elective,PSY,intermediate,0.4
CRS016,MATH203,MATH Course 203,4,core,MATH,advanced,0.41
CRS017,ENG201,ENG Course 201,4,core,ENG,intro,0.24
CRS018,PSY301,PSY Course 301,3,core,PSY,advanced,0.4
CRS019,ECON101,ECON Course 101,2,core,ECON,intermediate,0.44
CRS020,PSY203,PSY Course 203,2,core,PSY,advanced,0.5
CRS021,ENG204,ENG Course 204,2,elective,ENG,intermediate,0.33
CRS022,ENG302,ENG Course 302,2,elective,ENG,intro,0.13
CRS023,MATH303,MATH Course 303,4,elective,MATH,advanced,0.62
CRS024,STAT301,STAT Course 301,4,elective,STAT,intermediate,0.33
CRS025,MATH201,MATH Course 201,4,elective,MATH,intro,0.16
CRS026,CS102,CS Course 102,2,core,CS,advanced,0.46
CRS027,PSY304,PSY Course 304,2,elective,PSY,intermediate,0.4
CRS028,STAT302,STAT Course 302,4,elective,STAT,advanced,0.54
CRS029,CS102,CS Course 102,4,elective,CS,advanced,0.54
CRS030,ECON102,ECON Course 102,3,elective,ECON,intro,0.24
CRS031,PSY101,PSY Course 101,4,elective,PSY,advanced,0.71
CRS032,MATH303,MATH Course 303,2,elective,MATH,advanced,0.46
CRS033,STAT304,STAT Course 304,2,core,STAT,intermediate,0.3
CRS034,MATH303,MATH Course 303,4,core,MATH,advanced,0.42
CRS035,ECON302,ECON Course 302,2,core,ECON,intermediate,0.41
CRS036,ECON202,ECON Course 202,2,core,ECON,advanced,0.61
CRS037,CS102,CS Course 102,4,elective,CS,intro,0.19
CRS038,STAT201,STAT Course 201,2,elective,STAT,advanced,0.42
CRS039,MATH203,MATH Course 203,4,elective,MATH,intro,0.12
CRS040,STAT202,STAT Course 202,4,elective,STAT,intermediate,0.42
