studentId,courseId,grade,term,year,attemptNo
STU0001,CRS034,57.9,Fall,2024,1
STU0001,CRS027,84.7,Spring,2024,1
STU0001,CRS012,46.6,Spring,2024,1
STU0001,CRS033,68.7,Summer,2023,1
STU0001,CRS015,76.6,Spring,2024,1
STU0001,CRS011,72.1,Spring,2025,1
STU0001,CRS006,77.7,Spring,2024,1
STU0001,CRS008,87.5,Fall,2025,1
STU0001,CRS001,66.9,Spring,2023,1
STU0001,CRS032,61.2,Fall,2023,1
STU0001,CRS025,80.4,Fall,2024,1
STU0001,CRS031,66.9,Fall,2025,1
STU0001,CRS017,57.4,Summer,2024,1
STU0001,CRS023,51.3,Fall,2025,1
STU0001,CRS009,63.8,Fall,2025,1
STU0001,CRS005,77.0,Summer,2025,1
STU0002,CRS011,61.5,Spring,2025,1
STU0002,CRS025,71.9,Fall,2024,1
STU0002,CRS022,77.2,Spring,2025,1
STU0002,CRS032,70.3,Spring,2025,1
STU0002,CRS015,73.7,Fall,2024,1
STU0002,CRS033,70.0,Summer,2024,1
STU0002,CRS008,67.4,Spring,2023,1
STU0002,CRS001,69.6,Summer,2025,1
STU0002,CRS003,52.5,Fall,2023,1
STU0002,CRS029,54.7,Summer,2024,1
STU0002,CRS019,56.0,Fall,2023,1
STU0003,CRS037,65.3,Spring,2025,1
STU0003,CRS027,60.5,Spring,2023,1
STU0003,CRS010,75.5,Spring,2025,1
STU0003,CRS039,67.3,Fall,2024,1
STU0003,CRS031,71.1,Summer,2025,1
STU0003,CRS028,67.4,Summer,2025,1
STU0003,CRS017,86.2,Summer,2025,1
STU0003,CRS004,60.8,Fall,2025,1
STU0003,CRS008,69.4,Summer,2025,1
STU0003,CRS011,68.0,Spring,2023,1
STU0003,CRS021,70.6,Fall,2024,1
STU0004,CRS019,71.9,Summer,2024,1
STU0004,CRS013,59.7,Spring,2024,1
STU0004,CRS006,66.4,Fall,2023,1
STU0004,CRS004,62.1,Fall,2025,1
STU0004,CRS023,61.2,Summer,2024,1
STU0004,CRS008,82.3,Fall,2023,1
STU0004,CRS038,70.2,Summer,2025,1
STU0004,CRS022,70.8,Fall,2023,1
STU0004,CRS001,60.0,Summer,2025,1
STU0004,CRS039,55.9,Fall,2024,1
STU0004,CRS031,55.9,Spring,2024,1
STU0004,CRS003,68.9,Spring,2023,1
STU0004,CRS024,88.1,Spring,2024,1
STU0004,CRS037,77.5,Summer,2024,1
STU0004,CRS025,81.6,Summer,2025,1
STU0004,CRS021,63.4,Fall,2023,1
STU0005,CRS001,72.0,Fall,2023,1
STU0005,CRS022,71.2,Summer,2023,1
STU0005,CRS014,73.7,Summer,2023,1
STU0005,CRS034,79.7,Spring,2024,1
STU0005,CRS033,73.2,Summer,2024,1
STU0005,CRS012,64.3,Spring,2025,1
STU0005,CRS039,83.7,Spring,2024,1
STU0005,CRS011,70.5,Spring,2023,1
STU0005,CRS021,83.8,Summer,2023,1
STU0005,CRS010,77.6,Spring,2024,1
STU0005,CRS008,59.4,Fall,2024,1
STU0005,CRS002,53.3,Summer,2025,1
STU0005,CRS017,86.7,Summer,2024,1
STU0005,CRS040,85.8,Summer,2025,1
STU0005,CRS037,74.4,Spring,2023,1
STU0005,CRS028,62.4,Fall,2024,1
STU0006,CRS024,73.3,Summer,2023,1
STU0006,CRS036,69.2,Fall,2023,1
STU0006,CRS008,51.1,Spring,2023,1
STU0006,CRS012,70.9,Fall,2024,1
STU0006,CRS031,52.4,Spring,2024,1
STU0006,CRS040,58.4,Fall,2023,1
STU0006,CRS019,57.4,Spring,2025,1
STU0006,CRS006,70.3,Spring,2023,1
STU0006,CRS001,82.6,Fall,2024,1
STU0006,CRS009,57.7,Summer,2025,1
STU0007,CRS006,56.0,Fall,2025,1
STU0007,CRS038,64.7,Summer,2025,1
STU0007,CRS015,70.2,Spring,2023,1
STU0007,CRS011,78.3,Spring,2025,1
STU0007,CRS019,66.9,Fall,2024,1
STU0007,CRS025,68.3,Fall,2024,1
STU0007,CRS039,54.1,Fall,2024,1
STU0007,CRS001,68.8,Summer,2024,1
STU0007,CRS022,61.8,Summer,2024,1
STU0007,CRS004,57.9,Summer,2025,1
STU0007,CRS016,61.0,Spring,2024,1
STU0007,CRS040,69.7,Fall,2024,1
STU0007,CRS026,48.2,Fall,2024,1
STU0007,CRS037,56.5,Fall,2025,1
STU0007,CRS033,94.3,Spring,2025,1
STU0008,CRS009,70.5,Spring,2023,1
STU0008,CRS030,80.0,Spring,2023,1
STU0008,CRS033,76.3,Fall,2024,1
STU0008,CRS004,59.4,Summer,2024,1
STU0008,CRS003,68.1,Summer,2023,1
STU0008,CRS023,48.9,Spring,2024,1
STU0008,CRS006,68.2,Summer,2024,1
STU0008,CRS034,63.9,Fall,2024,1
STU0008,CRS012,65.7,Fall,2023,1
STU0009,CRS023,54.5,Summer,2025,1
STU0009,CRS027,78.9,Fall,2025,1
STU0009,CRS015,69.6,Summer,2023,1
STU0009,CRS012,68.2,Spring,2024,1
STU0009,CRS020,47.6,Summer,2025,1
STU0009,CRS036,80.1,Fall,2023,1
STU0009,CRS035,79.3,Fall,2023,1
STU0009,CRS002,58.9,Spring,2023,1
STU0009,CRS008,66.9,Fall,2025,1
STU0009,CRS009,81.6,Fall,2025,1
STU0009,CRS010,81.3,Fall,2023,1
STU0009,CRS022,69.5,Summer,2024,1
STU0009,CRS016,68.8,Spring,2025,1
STU0009,CRS014,63.3,Summer,2024,1
STU0009,CRS024,73.9,Summer,2025,1
STU0010,CRS035,84.1,Summer,2025,1
STU0010,CRS018,51.7,Summer,2024,1
STU0010,CRS015,75.6,Summer,2024,1
STU0010,CRS025,68.5,Fall,2024,1
STU0010,CRS010,72.2,Fall,2024,1
STU0010,CRS006,63.1,Spring,2025,1
STU0010,CRS019,62.9,Spring,2024,1
STU0010,CRS016,79.8,Summer,2023,1
STU0011,CRS019,81.5,Spring,2025,1
STU0011,CRS013,55.1,Fall,2024,1
STU0011,CRS021,67.7,Spring,2024,1
STU0011,CRS035,63.1,Fall,2023,1
STU0011,CRS025,69.6,Spring,2024,1
STU0011,CRS033,88.1,Fall,2025,1
STU0011,CRS011,72.6,Fall,2025,1
STU0011,CRS030,71.2,Summer,2025,1
STU0011,CRS009,68.9,Spring,2024,1
STU0011,CRS027,67.3,Summer,2025,1
STU0011,CRS006,58.4,Summer,2023,1
STU0011,CRS022,65.7,Spring,2025,1
STU0011,CRS003,72.5,Summer,2023,1
STU0011,CRS029,75.8,Spring,2025,1
STU0012,CRS022,77.7,Spring,2025,1
STU0012,CRS018,69.3,Fall,2023,1
STU0012,CRS021,74.1,Spring,2023,1
